Node,X,Y,Z,Time,Drawdown
1,0.5000,0.5000,100.0000,20.000000,6.81713164e-01
2,0.5000,0.5000,99.0000,20.000000,6.81650579e-01
3,0.5000,0.5000,98.0000,20.000000,6.81585431e-01
4,0.5000,0.5000,97.0000,20.000000,6.81517720e-01
5,0.5000,0.5000,96.0000,20.000000,6.81447327e-01
6,0.5000,0.5000,95.0000,20.000000,6.81374073e-01
7,0.5000,0.5000,94.0000,20.000000,6.81297898e-01
8,0.5000,0.5000,93.0000,20.000000,6.81218684e-01
9,0.5000,0.5000,92.0000,20.000000,6.81136370e-01
10,0.5000,0.5000,91.0000,20.000000,6.81050718e-01
11,0.5000,0.5000,90.0000,20.000000,6.80961728e-01
12,0.5000,0.5000,89.0000,20.000000,6.80869162e-01
13,0.5000,0.5000,88.0000,20.000000,6.80772901e-01
14,0.5000,0.5000,87.0000,20.000000,6.80672824e-01
15,0.5000,0.5000,86.0000,20.000000,6.80568755e-01
16,0.5000,0.5000,85.0000,20.000000,6.80460572e-01
17,0.5000,0.5000,84.0000,20.000000,6.80348098e-01
18,0.5000,0.5000,83.0000,20.000000,6.80231094e-01
19,0.5000,0.5000,82.0000,20.000000,6.80109441e-01
20,0.5000,0.5000,81.0000,20.000000,6.79982960e-01
21,0.5000,0.5000,80.0000,20.000000,6.79851472e-01
22,0.5000,0.5000,79.0000,20.000000,6.79714680e-01
23,0.5000,0.5000,78.0000,20.000000,6.79572403e-01
24,0.5000,0.5000,77.0000,20.000000,6.79424405e-01
25,0.5000,0.5000,76.0000,20.000000,6.79270506e-01
26,0.5000,0.5000,75.0000,20.000000,6.79110408e-01
27,0.5000,0.5000,74.0000,20.000000,6.78943813e-01
28,0.5000,0.5000,73.0000,20.000000,6.78770542e-01
29,0.5000,0.5000,72.0000,20.000000,6.78590178e-01
30,0.5000,0.5000,71.0000,20.000000,6.78402543e-01
31,0.5000,0.5000,70.0000,20.000000,6.78207278e-01
32,0.5000,0.5000,69.0000,20.000000,6.78004086e-01
33,0.5000,0.5000,68.0000,20.000000,6.77792490e-01
34,0.5000,0.5000,67.0000,20.000000,6.77572250e-01
35,0.5000,0.5000,66.0000,20.000000,6.77342951e-01
36,0.5000,0.5000,65.0000,20.000000,6.77104175e-01
37,0.5000,0.5000,64.0000,20.000000,6.76855505e-01
38,0.5000,0.5000,63.0000,20.000000,6.76596522e-01
39,0.5000,0.5000,62.0000,20.000000,6.76326692e-01
40,0.5000,0.5000,61.0000,20.000000,6.76045597e-01
41,0.5000,0.5000,60.0000,20.000000,6.75752640e-01
42,0.5000,0.5000,59.0000,20.000000,6.75447345e-01
43,0.5000,0.5000,58.0000,20.000000,6.75129056e-01
44,0.5000,0.5000,57.0000,20.000000,6.74797297e-01
45,0.5000,0.5000,56.0000,20.000000,6.74451292e-01
46,0.5000,0.5000,55.0000,20.000000,6.74090445e-01
47,0.5000,0.5000,54.0000,20.000000,6.73714101e-01
48,0.5000,0.5000,53.0000,20.000000,6.73321366e-01
49,0.5000,0.5000,52.0000,20.000000,6.72911525e-01
50,0.5000,0.5000,51.0000,20.000000,6.72483802e-01
51,0.5000,0.5000,50.0000,20.000000,6.72037244e-01
52,0.5000,0.5000,49.0000,20.000000,6.71570957e-01
53,0.5000,0.5000,48.0000,20.000000,6.71083927e-01
54,0.5000,0.5000,47.0000,20.000000,6.70575142e-01
55,0.5000,0.5000,46.0000,20.000000,6.70043468e-01
56,0.5000,0.5000,45.0000,20.000000,6.69487834e-01
57,0.5000,0.5000,44.0000,20.000000,6.68906868e-01
58,0.5000,0.5000,43.0000,20.000000,6.68299377e-01
59,0.5000,0.5000,42.0000,20.000000,6.67663872e-01
60,0.5000,0.5000,41.0000,20.000000,6.66998982e-01
61,0.5000,0.5000,40.0000,20.000000,6.66303098e-01
62,0.5000,0.5000,39.0000,20.000000,6.65574551e-01
63,0.5000,0.5000,38.0000,20.000000,6.64811611e-01
64,0.5000,0.5000,37.0000,20.000000,6.64012372e-01
65,0.5000,0.5000,36.0000,20.000000,6.63174808e-01
66,0.5000,0.5000,35.0000,20.000000,6.62296772e-01
67,0.5000,0.5000,34.0000,20.000000,6.61376059e-01
68,0.5000,0.5000,33.0000,20.000000,6.60410166e-01
69,0.5000,0.5000,32.0000,20.000000,6.59396529e-01
70,0.5000,0.5000,31.0000,20.000000,6.58332348e-01
71,0.5000,0.5000,30.0000,20.000000,6.57214642e-01
72,0.5000,0.5000,29.0000,20.000000,6.56040192e-01
73,0.5000,0.5000,28.0000,20.000000,6.54805601e-01
74,0.5000,0.5000,27.0000,20.000000,6.53507113e-01
75,0.5000,0.5000,26.0000,20.000000,6.52140677e-01
76,0.5000,0.5000,25.0000,20.000000,6.50702119e-01
77,0.5000,0.5000,24.0000,20.000000,6.49186730e-01
78,0.5000,0.5000,23.0000,20.000000,6.47589445e-01
79,0.5000,0.5000,22.0000,20.000000,6.45904779e-01
80,0.5000,0.5000,21.0000,20.000000,6.44126773e-01
81,0.5000,0.5000,20.0000,20.000000,6.42248988e-01
82,0.5000,0.5000,19.0000,20.000000,6.40264332e-01
83,0.5000,0.5000,18.0000,20.000000,6.38164997e-01
84,0.5000,0.5000,17.0000,20.000000,6.35942459e-01
85,0.5000,0.5000,16.0000,20.000000,6.33587241e-01
86,0.5000,0.5000,15.0000,20.000000,6.31089032e-01
87,0.5000,0.5000,14.0000,20.000000,6.28436267e-01
88,0.5000,0.5000,13.0000,20.000000,6.25616014e-01
89,0.5000,0.5000,12.0000,20.000000,6.22613907e-01
90,0.5000,0.5000,11.0000,20.000000,6.19413733e-01
