Node,X,Y,Z
1,0.500000,0.500000,1.500000
2,1.500000,0.500000,1.490000
3,2.500000,0.500000,1.480000
4,3.500000,0.500000,1.470000
5,4.500000,0.500000,1.460000
6,5.500000,0.500000,1.450000
7,6.500000,0.500000,1.440000
8,7.500000,0.500000,1.430000
9,8.500000,0.500000,1.420000
10,9.500000,0.500000,1.410000
11,10.500000,0.500000,1.400000
12,11.500000,0.500000,1.390000
13,12.500000,0.500000,1.380000
14,13.500000,0.500000,1.370000
15,14.500000,0.500000,1.360000
16,15.500000,0.500000,1.350000
17,16.500000,0.500000,1.340000
18,17.500000,0.500000,1.330000
19,18.500000,0.500000,1.320000
20,19.500000,0.500000,1.310000
21,20.500000,0.500000,1.300000
22,21.500000,0.500000,1.290000
23,22.500000,0.500000,1.280000
24,23.500000,0.500000,1.270000
25,24.500000,0.500000,1.260000
26,25.500000,0.500000,1.250000
27,26.500000,0.500000,1.240000
28,27.500000,0.500000,1.230000
29,28.500000,0.500000,1.220000
30,29.500000,0.500000,1.210000
31,30.500000,0.500000,1.200000
32,31.500000,0.500000,1.190000
33,32.500000,0.500000,1.180000
34,33.500000,0.500000,1.170000
35,34.500000,0.500000,1.160000
36,35.500000,0.500000,1.150000
37,36.500000,0.500000,1.140000
38,37.500000,0.500000,1.130000
39,38.500000,0.500000,1.120000
40,39.500000,0.500000,1.110000
41,40.500000,0.500000,1.100000
42,41.500000,0.500000,1.090000
43,42.500000,0.500000,1.080000
44,43.500000,0.500000,1.070000
45,44.500000,0.500000,1.060000
46,45.500000,0.500000,1.050000
47,46.500000,0.500000,1.040000
48,47.500000,0.500000,1.030000
49,48.500000,0.500000,1.020000
50,49.500000,0.500000,1.010000
51,50.500000,0.500000,1.000000
52,51.500000,0.500000,0.990000
53,52.500000,0.500000,0.980000
54,53.500000,0.500000,0.970000
55,54.500000,0.500000,0.960000
56,55.500000,0.500000,0.950000
57,56.500000,0.500000,0.940000
58,57.500000,0.500000,0.930000
59,58.500000,0.500000,0.920000
60,59.500000,0.500000,0.910000
61,60.500000,0.500000,0.900000
62,61.500000,0.500000,0.890000
63,62.500000,0.500000,0.880000
64,63.500000,0.500000,0.870000
65,64.500000,0.500000,0.860000
66,65.500000,0.500000,0.850000
67,66.500000,0.500000,0.840000
68,67.500000,0.500000,0.830000
69,68.500000,0.500000,0.820000
70,69.500000,0.500000,0.810000
71,70.500000,0.500000,0.800000
72,71.500000,0.500000,0.790000
73,72.500000,0.500000,0.780000
74,73.500000,0.500000,0.770000
75,74.500000,0.500000,0.760000
76,75.500000,0.500000,0.750000
77,76.500000,0.500000,0.740000
78,77.500000,0.500000,0.730000
79,78.500000,0.500000,0.720000
80,79.500000,0.500000,0.710000
81,80.500000,0.500000,0.700000
82,81.500000,0.500000,0.690000
83,82.500000,0.500000,0.680000
84,83.500000,0.500000,0.670000
85,84.500000,0.500000,0.660000
86,85.500000,0.500000,0.650000
87,86.500000,0.500000,0.640000
88,87.500000,0.500000,0.630000
89,88.500000,0.500000,0.620000
90,89.500000,0.500000,0.610000
91,90.500000,0.500000,0.600000
92,91.500000,0.500000,0.590000
93,92.500000,0.500000,0.580000
94,93.500000,0.500000,0.570000
95,94.500000,0.500000,0.560000
96,95.500000,0.500000,0.550000
97,96.500000,0.500000,0.540000
98,97.500000,0.500000,0.530000
99,98.500000,0.500000,0.520000
100,99.500000,0.500000,0.510000
101,100.500000,0.500000,0.500000
