Node,X,Y,Z
1,0.500000,0.500000,-1.950500
2,1.500000,0.500000,-1.851500
3,2.500000,0.500000,-1.752500
4,3.500000,0.500000,-1.653500
5,4.500000,0.500000,-1.554500
6,5.500000,0.500000,-1.455500
7,6.500000,0.500000,-1.356500
8,7.500000,0.500000,-1.257500
9,8.500000,0.500000,-1.158500
10,9.500000,0.500000,-1.059500
11,10.500000,0.500000,-0.960500
12,11.500000,0.500000,-0.861500
13,12.500000,0.500000,-0.762500
14,13.500000,0.500000,-0.663500
15,14.500000,0.500000,-0.564500
16,15.500000,0.500000,-0.465500
17,16.500000,0.500000,-0.366500
18,17.500000,0.500000,-0.267500
19,18.500000,0.500000,-0.168500
20,19.500000,0.500000,-0.069500
21,20.500000,0.500000,0.029500
22,21.500000,0.500000,0.128500
23,22.500000,0.500000,0.227500
24,23.500000,0.500000,0.326500
25,24.500000,0.500000,0.425500
26,25.500000,0.500000,0.524500
27,26.500000,0.500000,0.623500
28,27.500000,0.500000,0.722500
29,28.500000,0.500000,0.821500
30,29.500000,0.500000,0.920500
31,30.500000,0.500000,1.019500
32,31.500000,0.500000,1.118500
33,32.500000,0.500000,1.217500
34,33.500000,0.500000,1.316500
35,34.500000,0.500000,1.415500
36,35.500000,0.500000,1.514500
37,36.500000,0.500000,1.613500
38,37.500000,0.500000,1.712500
39,38.500000,0.500000,1.811500
40,39.500000,0.500000,1.910500
41,40.500000,0.500000,2.009500
42,41.500000,0.500000,2.108500
43,42.500000,0.500000,2.207500
44,43.500000,0.500000,2.306500
45,44.500000,0.500000,2.405500
46,45.500000,0.500000,2.504500
47,46.500000,0.500000,2.603500
48,47.500000,0.500000,2.702500
49,48.500000,0.500000,2.801500
50,49.500000,0.500000,2.900500
51,50.500000,0.500000,2.999500
52,51.500000,0.500000,3.098500
53,52.500000,0.500000,3.197500
54,53.500000,0.500000,3.296500
55,54.500000,0.500000,3.395500
56,55.500000,0.500000,3.494500
57,56.500000,0.500000,3.593500
58,57.500000,0.500000,3.692500
59,58.500000,0.500000,3.791500
60,59.500000,0.500000,3.890500
61,60.500000,0.500000,3.989500
62,61.500000,0.500000,4.088500
63,62.500000,0.500000,4.187500
64,63.500000,0.500000,4.286500
65,64.500000,0.500000,4.385500
66,65.500000,0.500000,4.484500
67,66.500000,0.500000,4.583500
68,67.500000,0.500000,4.682500
69,68.500000,0.500000,4.781500
70,69.500000,0.500000,4.880500
71,70.500000,0.500000,4.979500
72,71.500000,0.500000,5.078500
73,72.500000,0.500000,5.177500
74,73.500000,0.500000,5.276500
75,74.500000,0.500000,5.375500
76,75.500000,0.500000,5.474500
77,76.500000,0.500000,5.573500
78,77.500000,0.500000,5.672500
79,78.500000,0.500000,5.771500
80,79.500000,0.500000,5.870500
81,80.500000,0.500000,5.969500
82,81.500000,0.500000,6.068500
83,82.500000,0.500000,6.167500
84,83.500000,0.500000,6.266500
85,84.500000,0.500000,6.365500
86,85.500000,0.500000,6.464500
87,86.500000,0.500000,6.563500
88,87.500000,0.500000,6.662500
89,88.500000,0.500000,6.761500
90,89.500000,0.500000,6.860500
91,90.500000,0.500000,6.959500
92,91.500000,0.500000,7.058500
93,92.500000,0.500000,7.157500
94,93.500000,0.500000,7.256500
95,94.500000,0.500000,7.355500
96,95.500000,0.500000,7.454500
97,96.500000,0.500000,7.553500
98,97.500000,0.500000,7.652500
99,98.500000,0.500000,7.751500
100,99.500000,0.500000,7.850500
101,100.500000,0.500000,7.949500
102,101.500000,0.500000,8.048500
103,102.500000,0.500000,8.147500
104,103.500000,0.500000,8.246500
105,104.500000,0.500000,8.345500
106,105.500000,0.500000,8.444500
107,106.500000,0.500000,8.543500
108,107.500000,0.500000,8.642500
109,108.500000,0.500000,8.741500
110,109.500000,0.500000,8.840500
111,110.500000,0.500000,8.939500
112,111.500000,0.500000,9.038500
113,112.500000,0.500000,9.137500
114,113.500000,0.500000,9.236500
115,114.500000,0.500000,9.335500
116,115.500000,0.500000,9.434500
117,116.500000,0.500000,9.533500
118,117.500000,0.500000,9.632500
119,118.500000,0.500000,9.731500
120,119.500000,0.500000,9.830500
121,120.500000,0.500000,9.929500
122,121.500000,0.500000,10.028500
123,122.500000,0.500000,10.127500
124,123.500000,0.500000,10.226500
125,124.500000,0.500000,10.325500
126,125.500000,0.500000,10.424500
127,126.500000,0.500000,10.523500
128,127.500000,0.500000,10.622500
129,128.500000,0.500000,10.721500
130,129.500000,0.500000,10.820500
131,130.500000,0.500000,10.919500
132,131.500000,0.500000,11.018500
133,132.500000,0.500000,11.117500
134,133.500000,0.500000,11.216500
135,134.500000,0.500000,11.315500
136,135.500000,0.500000,11.414500
137,136.500000,0.500000,11.513500
138,137.500000,0.500000,11.612500
139,138.500000,0.500000,11.711500
140,139.500000,0.500000,11.810500
141,140.500000,0.500000,11.909500
142,141.500000,0.500000,12.008500
143,142.500000,0.500000,12.107500
144,143.500000,0.500000,12.206500
145,144.500000,0.500000,12.305500
146,145.500000,0.500000,12.404500
147,146.500000,0.500000,12.503500
148,147.500000,0.500000,12.602500
149,148.500000,0.500000,12.701500
150,149.500000,0.500000,12.800500
151,150.500000,0.500000,12.899500
152,151.500000,0.500000,12.998500
153,152.500000,0.500000,13.097500
154,153.500000,0.500000,13.196500
155,154.500000,0.500000,13.295500
156,155.500000,0.500000,13.394500
157,156.500000,0.500000,13.493500
158,157.500000,0.500000,13.592500
159,158.500000,0.500000,13.691500
160,159.500000,0.500000,13.790500
161,160.500000,0.500000,13.889500
162,161.500000,0.500000,13.988500
163,162.500000,0.500000,14.087500
164,163.500000,0.500000,14.186500
165,164.500000,0.500000,14.285500
166,165.500000,0.500000,14.384500
167,166.500000,0.500000,14.483500
168,167.500000,0.500000,14.582500
169,168.500000,0.500000,14.681500
170,169.500000,0.500000,14.780500
171,170.500000,0.500000,14.879500
172,171.500000,0.500000,14.978500
173,172.500000,0.500000,15.077500
174,173.500000,0.500000,15.176500
175,174.500000,0.500000,15.275500
176,175.500000,0.500000,15.374500
177,176.500000,0.500000,15.473500
178,177.500000,0.500000,15.572500
179,178.500000,0.500000,15.671500
180,179.500000,0.500000,15.770500
181,180.500000,0.500000,15.869500
182,181.500000,0.500000,15.968500
183,182.500000,0.500000,16.067500
184,183.500000,0.500000,16.166500
185,184.500000,0.500000,16.265500
186,185.500000,0.500000,16.364500
187,186.500000,0.500000,16.463500
188,187.500000,0.500000,16.562500
189,188.500000,0.500000,16.661500
190,189.500000,0.500000,16.760500
191,190.500000,0.500000,16.859500
192,191.500000,0.500000,16.958500
193,192.500000,0.500000,17.057500
194,193.500000,0.500000,17.156500
195,194.500000,0.500000,17.255500
196,195.500000,0.500000,17.354500
197,196.500000,0.500000,17.453500
198,197.500000,0.500000,17.552500
199,198.500000,0.500000,17.651500
200,199.500000,0.500000,17.750500
201,200.500000,0.500000,17.849500
202,201.500000,0.500000,17.948500
203,202.500000,0.500000,18.047500
204,203.500000,0.500000,18.146500
205,204.500000,0.500000,18.245500
206,205.500000,0.500000,18.344500
207,206.500000,0.500000,18.443500
208,207.500000,0.500000,18.542500
209,208.500000,0.500000,18.641500
210,209.500000,0.500000,18.740500
211,210.500000,0.500000,18.839500
212,211.500000,0.500000,18.938500
213,212.500000,0.500000,19.037500
214,213.500000,0.500000,19.136500
215,214.500000,0.500000,19.235500
216,215.500000,0.500000,19.334500
217,216.500000,0.500000,19.433500
218,217.500000,0.500000,19.532500
219,218.500000,0.500000,19.631500
220,219.500000,0.500000,19.730500
221,220.500000,0.500000,19.829500
222,221.500000,0.500000,19.928500
223,222.500000,0.500000,20.027500
224,223.500000,0.500000,20.126500
225,224.500000,0.500000,20.225500
226,225.500000,0.500000,20.324500
227,226.500000,0.500000,20.423500
228,227.500000,0.500000,20.522500
229,228.500000,0.500000,20.621500
230,229.500000,0.500000,20.720500
231,230.500000,0.500000,20.819500
232,231.500000,0.500000,20.918500
233,232.500000,0.500000,21.017500
234,233.500000,0.500000,21.116500
235,234.500000,0.500000,21.215500
236,235.500000,0.500000,21.314500
237,236.500000,0.500000,21.413500
238,237.500000,0.500000,21.512500
239,238.500000,0.500000,21.611500
240,239.500000,0.500000,21.710500
241,240.500000,0.500000,21.809500
242,241.500000,0.500000,21.908500
243,242.500000,0.500000,22.007500
244,243.500000,0.500000,22.106500
245,244.500000,0.500000,22.205500
246,245.500000,0.500000,22.304500
247,246.500000,0.500000,22.403500
248,247.500000,0.500000,22.502500
249,248.500000,0.500000,22.601500
250,249.500000,0.500000,22.700500
251,250.500000,0.500000,22.799500
252,251.500000,0.500000,22.898500
253,252.500000,0.500000,22.997500
254,253.500000,0.500000,23.096500
255,254.500000,0.500000,23.195500
256,255.500000,0.500000,23.294500
257,256.500000,0.500000,23.393500
258,257.500000,0.500000,23.492500
259,258.500000,0.500000,23.591500
260,259.500000,0.500000,23.690500
261,260.500000,0.500000,23.789500
262,261.500000,0.500000,23.888500
263,262.500000,0.500000,23.987500
264,263.500000,0.500000,24.086500
265,264.500000,0.500000,24.185500
266,265.500000,0.500000,24.284500
267,266.500000,0.500000,24.383500
268,267.500000,0.500000,24.482500
269,268.500000,0.500000,24.581500
270,269.500000,0.500000,24.680500
271,270.500000,0.500000,24.779500
272,271.500000,0.500000,24.878500
273,272.500000,0.500000,24.977500
274,273.500000,0.500000,25.076500
275,274.500000,0.500000,25.175500
276,275.500000,0.500000,25.274500
277,276.500000,0.500000,25.373500
278,277.500000,0.500000,25.472500
279,278.500000,0.500000,25.571500
280,279.500000,0.500000,25.670500
281,280.500000,0.500000,25.769500
282,281.500000,0.500000,25.868500
283,282.500000,0.500000,25.967500
284,283.500000,0.500000,26.066500
285,284.500000,0.500000,26.165500
286,285.500000,0.500000,26.264500
287,286.500000,0.500000,26.363500
288,287.500000,0.500000,26.462500
289,288.500000,0.500000,26.561500
290,289.500000,0.500000,26.660500
291,290.500000,0.500000,26.759500
292,291.500000,0.500000,26.858500
293,292.500000,0.500000,26.957500
294,293.500000,0.500000,27.056500
295,294.500000,0.500000,27.155500
296,295.500000,0.500000,27.254500
297,296.500000,0.500000,27.353500
298,297.500000,0.500000,27.452500
299,298.500000,0.500000,27.551500
300,299.500000,0.500000,27.650500
301,300.500000,0.500000,27.749500
302,301.500000,0.500000,27.848500
303,302.500000,0.500000,27.947500
304,303.500000,0.500000,28.046500
305,304.500000,0.500000,28.145500
306,305.500000,0.500000,28.244500
307,306.500000,0.500000,28.343500
308,307.500000,0.500000,28.442500
309,308.500000,0.500000,28.541500
310,309.500000,0.500000,28.640500
311,310.500000,0.500000,28.739500
312,311.500000,0.500000,28.838500
313,312.500000,0.500000,28.937500
314,313.500000,0.500000,29.036500
315,314.500000,0.500000,29.135500
316,315.500000,0.500000,29.234500
317,316.500000,0.500000,29.333500
318,317.500000,0.500000,29.432500
319,318.500000,0.500000,29.531500
320,319.500000,0.500000,29.630500
321,320.500000,0.500000,29.729500
322,321.500000,0.500000,29.828500
323,322.500000,0.500000,29.927500
324,323.500000,0.500000,30.026500
325,324.500000,0.500000,30.125500
326,325.500000,0.500000,30.224500
327,326.500000,0.500000,30.323500
328,327.500000,0.500000,30.422500
329,328.500000,0.500000,30.521500
330,329.500000,0.500000,30.620500
331,330.500000,0.500000,30.719500
332,331.500000,0.500000,30.818500
333,332.500000,0.500000,30.917500
334,333.500000,0.500000,31.016500
335,334.500000,0.500000,31.115500
336,335.500000,0.500000,31.214500
337,336.500000,0.500000,31.313500
338,337.500000,0.500000,31.412500
339,338.500000,0.500000,31.511500
340,339.500000,0.500000,31.610500
341,340.500000,0.500000,31.709500
342,341.500000,0.500000,31.808500
343,342.500000,0.500000,31.907500
344,343.500000,0.500000,32.006500
345,344.500000,0.500000,32.105500
346,345.500000,0.500000,32.204500
347,346.500000,0.500000,32.303500
348,347.500000,0.500000,32.402500
349,348.500000,0.500000,32.501500
350,349.500000,0.500000,32.600500
351,350.500000,0.500000,32.699500
352,351.500000,0.500000,32.798500
353,352.500000,0.500000,32.897500
354,353.500000,0.500000,32.996500
355,354.500000,0.500000,33.095500
356,355.500000,0.500000,33.194500
357,356.500000,0.500000,33.293500
358,357.500000,0.500000,33.392500
359,358.500000,0.500000,33.491500
360,359.500000,0.500000,33.590500
361,360.500000,0.500000,33.689500
362,361.500000,0.500000,33.788500
363,362.500000,0.500000,33.887500
364,363.500000,0.500000,33.986500
365,364.500000,0.500000,34.085500
366,365.500000,0.500000,34.184500
367,366.500000,0.500000,34.283500
368,367.500000,0.500000,34.382500
369,368.500000,0.500000,34.481500
370,369.500000,0.500000,34.580500
371,370.500000,0.500000,34.679500
372,371.500000,0.500000,34.778500
373,372.500000,0.500000,34.877500
374,373.500000,0.500000,34.976500
375,374.500000,0.500000,35.075500
376,375.500000,0.500000,35.174500
377,376.500000,0.500000,35.273500
378,377.500000,0.500000,35.372500
379,378.500000,0.500000,35.471500
380,379.500000,0.500000,35.570500
381,380.500000,0.500000,35.669500
