Original Node Number,Reduced Set Node Number,x,y,layer
1,0,0.500000,16.500000,1
2,0,1.500000,16.500000,1
3,0,2.500000,16.500000,1
4,0,3.500000,16.500000,1
5,0,4.500000,16.500000,1
6,0,5.500000,16.500000,1
7,0,6.500000,16.500000,1
8,0,7.500000,16.500000,1
9,0,8.500000,16.500000,1
10,0,9.500000,16.500000,1
11,0,10.500000,16.500000,1
12,0,11.500000,16.500000,1
13,0,12.500000,16.500000,1
14,0,13.500000,16.500000,1
15,0,14.500000,16.500000,1
16,0,15.500000,16.500000,1
17,0,16.500000,16.500000,1
18,0,17.500000,16.500000,1
19,0,18.500000,16.500000,1
20,0,19.500000,16.500000,1
21,0,20.500000,16.500000,1
22,0,21.500000,16.500000,1
23,0,22.500000,16.500000,1
24,0,23.500000,16.500000,1
25,0,24.500000,16.500000,1
26,0,25.500000,16.500000,1
27,0,26.500000,16.500000,1
28,0,27.500000,16.500000,1
29,0,28.500000,16.500000,1
30,0,29.500000,16.500000,1
31,1,30.500000,16.500000,1
32,2,31.500000,16.500000,1
33,3,32.500000,16.500000,1
34,4,33.500000,16.500000,1
35,5,34.500000,16.500000,1
36,6,35.500000,16.500000,1
37,7,36.500000,16.500000,1
38,8,37.500000,16.500000,1
39,9,38.500000,16.500000,1
40,10,39.500000,16.500000,1
41,11,40.500000,16.500000,1
42,12,41.500000,16.500000,1
43,13,42.500000,16.500000,1
44,14,43.500000,16.500000,1
45,15,44.500000,16.500000,1
46,16,45.500000,16.500000,1
47,17,46.500000,16.500000,1
48,0,47.500000,16.500000,1
49,0,48.500000,16.500000,1
50,0,49.500000,16.500000,1
51,0,50.500000,16.500000,1
52,0,51.500000,16.500000,1
53,0,52.500000,16.500000,1
54,0,53.500000,16.500000,1
55,0,54.500000,16.500000,1
56,0,55.500000,16.500000,1
57,0,56.500000,16.500000,1
58,0,57.500000,16.500000,1
59,0,58.500000,16.500000,1
60,0,59.500000,16.500000,1
61,0,60.500000,16.500000,1
62,0,61.500000,16.500000,1
63,0,62.500000,16.500000,1
64,0,63.500000,16.500000,1
65,0,64.500000,16.500000,1
66,0,65.500000,16.500000,1
67,0,66.500000,16.500000,1
68,0,67.500000,16.500000,1
69,0,68.500000,16.500000,1
70,0,69.500000,16.500000,1
71,0,70.500000,16.500000,1
72,0,71.500000,16.500000,1
73,0,72.500000,16.500000,1
74,0,73.500000,16.500000,1
75,0,74.500000,16.500000,1
76,0,75.500000,16.500000,1
77,0,76.500000,16.500000,1
78,0,77.500000,16.500000,1
79,0,78.500000,16.500000,1
80,0,79.500000,16.500000,1
81,0,80.500000,16.500000,1
82,0,0.500000,15.500000,1
83,0,1.500000,15.500000,1
84,0,2.500000,15.500000,1
85,0,3.500000,15.500000,1
86,0,4.500000,15.500000,1
87,0,5.500000,15.500000,1
88,0,6.500000,15.500000,1
89,0,7.500000,15.500000,1
90,0,8.500000,15.500000,1
91,0,9.500000,15.500000,1
92,0,10.500000,15.500000,1
93,0,11.500000,15.500000,1
94,0,12.500000,15.500000,1
95,0,13.500000,15.500000,1
96,0,14.500000,15.500000,1
97,0,15.500000,15.500000,1
98,0,16.500000,15.500000,1
99,0,17.500000,15.500000,1
100,0,18.500000,15.500000,1
101,0,19.500000,15.500000,1
102,0,20.500000,15.500000,1
103,0,21.500000,15.500000,1
104,18,22.500000,15.500000,1
105,19,23.500000,15.500000,1
106,20,24.500000,15.500000,1
107,21,25.500000,15.500000,1
108,22,26.500000,15.500000,1
109,23,27.500000,15.500000,1
110,24,28.500000,15.500000,1
111,25,29.500000,15.500000,1
112,26,30.500000,15.500000,1
113,27,31.500000,15.500000,1
114,28,32.500000,15.500000,1
115,29,33.500000,15.500000,1
116,30,34.500000,15.500000,1
117,31,35.500000,15.500000,1
118,32,36.500000,15.500000,1
119,33,37.500000,15.500000,1
120,34,38.500000,15.500000,1
121,35,39.500000,15.500000,1
122,36,40.500000,15.500000,1
123,37,41.500000,15.500000,1
124,38,42.500000,15.500000,1
125,39,43.500000,15.500000,1
126,40,44.500000,15.500000,1
127,41,45.500000,15.500000,1
128,42,46.500000,15.500000,1
129,43,47.500000,15.500000,1
130,44,48.500000,15.500000,1
131,45,49.500000,15.500000,1
132,46,50.500000,15.500000,1
133,47,51.500000,15.500000,1
134,48,52.500000,15.500000,1
135,49,53.500000,15.500000,1
136,50,54.500000,15.500000,1
137,51,55.500000,15.500000,1
138,52,56.500000,15.500000,1
139,53,57.500000,15.500000,1
140,0,58.500000,15.500000,1
141,0,59.500000,15.500000,1
142,0,60.500000,15.500000,1
143,0,61.500000,15.500000,1
144,0,62.500000,15.500000,1
145,0,63.500000,15.500000,1
146,0,64.500000,15.500000,1
147,0,65.500000,15.500000,1
148,0,66.500000,15.500000,1
149,0,67.500000,15.500000,1
150,0,68.500000,15.500000,1
151,0,69.500000,15.500000,1
152,0,70.500000,15.500000,1
153,0,71.500000,15.500000,1
154,0,72.500000,15.500000,1
155,0,73.500000,15.500000,1
156,0,74.500000,15.500000,1
157,0,75.500000,15.500000,1
158,0,76.500000,15.500000,1
159,0,77.500000,15.500000,1
160,0,78.500000,15.500000,1
161,0,79.500000,15.500000,1
162,0,80.500000,15.500000,1
163,0,0.500000,14.500000,1
164,0,1.500000,14.500000,1
165,0,2.500000,14.500000,1
166,0,3.500000,14.500000,1
167,0,4.500000,14.500000,1
168,0,5.500000,14.500000,1
169,0,6.500000,14.500000,1
170,0,7.500000,14.500000,1
171,0,8.500000,14.500000,1
172,0,9.500000,14.500000,1
173,0,10.500000,14.500000,1
174,0,11.500000,14.500000,1
175,0,12.500000,14.500000,1
176,0,13.500000,14.500000,1
177,0,14.500000,14.500000,1
178,0,15.500000,14.500000,1
179,54,16.500000,14.500000,1
180,55,17.500000,14.500000,1
181,56,18.500000,14.500000,1
182,57,19.500000,14.500000,1
183,58,20.500000,14.500000,1
184,59,21.500000,14.500000,1
185,60,22.500000,14.500000,1
186,61,23.500000,14.500000,1
187,62,24.500000,14.500000,1
188,63,25.500000,14.500000,1
189,64,26.500000,14.500000,1
190,65,27.500000,14.500000,1
191,66,28.500000,14.500000,1
192,67,29.500000,14.500000,1
193,68,30.500000,14.500000,1
194,69,31.500000,14.500000,1
195,70,32.500000,14.500000,1
196,71,33.500000,14.500000,1
197,72,34.500000,14.500000,1
198,73,35.500000,14.500000,1
199,74,36.500000,14.500000,1
200,75,37.500000,14.500000,1
201,76,38.500000,14.500000,1
202,77,39.500000,14.500000,1
203,78,40.500000,14.500000,1
204,79,41.500000,14.500000,1
205,80,42.500000,14.500000,1
206,81,43.500000,14.500000,1
207,82,44.500000,14.500000,1
208,83,45.500000,14.500000,1
209,84,46.500000,14.500000,1
210,85,47.500000,14.500000,1
211,86,48.500000,14.500000,1
212,87,49.500000,14.500000,1
213,88,50.500000,14.500000,1
214,89,51.500000,14.500000,1
215,90,52.500000,14.500000,1
216,91,53.500000,14.500000,1
217,92,54.500000,14.500000,1
218,93,55.500000,14.500000,1
219,94,56.500000,14.500000,1
220,95,57.500000,14.500000,1
221,96,58.500000,14.500000,1
222,97,59.500000,14.500000,1
223,98,60.500000,14.500000,1
224,99,61.500000,14.500000,1
225,100,62.500000,14.500000,1
226,101,63.500000,14.500000,1
227,102,64.500000,14.500000,1
228,0,65.500000,14.500000,1
229,0,66.500000,14.500000,1
230,0,67.500000,14.500000,1
231,0,68.500000,14.500000,1
232,0,69.500000,14.500000,1
233,0,70.500000,14.500000,1
234,0,71.500000,14.500000,1
235,0,72.500000,14.500000,1
236,0,73.500000,14.500000,1
237,0,74.500000,14.500000,1
238,0,75.500000,14.500000,1
239,0,76.500000,14.500000,1
240,0,77.500000,14.500000,1
241,0,78.500000,14.500000,1
242,0,79.500000,14.500000,1
243,0,80.500000,14.500000,1
244,0,0.500000,13.500000,1
245,0,1.500000,13.500000,1
246,0,2.500000,13.500000,1
247,0,3.500000,13.500000,1
248,0,4.500000,13.500000,1
249,0,5.500000,13.500000,1
250,0,6.500000,13.500000,1
251,0,7.500000,13.500000,1
252,0,8.500000,13.500000,1
253,0,9.500000,13.500000,1
254,103,10.500000,13.500000,1
255,104,11.500000,13.500000,1
256,105,12.500000,13.500000,1
257,106,13.500000,13.500000,1
258,107,14.500000,13.500000,1
259,108,15.500000,13.500000,1
260,109,16.500000,13.500000,1
261,110,17.500000,13.500000,1
262,111,18.500000,13.500000,1
263,112,19.500000,13.500000,1
264,113,20.500000,13.500000,1
265,114,21.500000,13.500000,1
266,115,22.500000,13.500000,1
267,116,23.500000,13.500000,1
268,117,24.500000,13.500000,1
269,118,25.500000,13.500000,1
270,119,26.500000,13.500000,1
271,120,27.500000,13.500000,1
272,121,28.500000,13.500000,1
273,122,29.500000,13.500000,1
274,123,30.500000,13.500000,1
275,124,31.500000,13.500000,1
276,125,32.500000,13.500000,1
277,126,33.500000,13.500000,1
278,127,34.500000,13.500000,1
279,128,35.500000,13.500000,1
280,129,36.500000,13.500000,1
281,130,37.500000,13.500000,1
282,131,38.500000,13.500000,1
283,132,39.500000,13.500000,1
284,133,40.500000,13.500000,1
285,134,41.500000,13.500000,1
286,135,42.500000,13.500000,1
287,136,43.500000,13.500000,1
288,137,44.500000,13.500000,1
289,138,45.500000,13.500000,1
290,139,46.500000,13.500000,1
291,140,47.500000,13.500000,1
292,141,48.500000,13.500000,1
293,142,49.500000,13.500000,1
294,143,50.500000,13.500000,1
295,144,51.500000,13.500000,1
296,145,52.500000,13.500000,1
297,146,53.500000,13.500000,1
298,147,54.500000,13.500000,1
299,148,55.500000,13.500000,1
300,149,56.500000,13.500000,1
301,150,57.500000,13.500000,1
302,151,58.500000,13.500000,1
303,152,59.500000,13.500000,1
304,153,60.500000,13.500000,1
305,154,61.500000,13.500000,1
306,155,62.500000,13.500000,1
307,156,63.500000,13.500000,1
308,157,64.500000,13.500000,1
309,158,65.500000,13.500000,1
310,159,66.500000,13.500000,1
311,160,67.500000,13.500000,1
312,161,68.500000,13.500000,1
313,0,69.500000,13.500000,1
314,0,70.500000,13.500000,1
315,0,71.500000,13.500000,1
316,0,72.500000,13.500000,1
