Node,X,Y,Z
1,30.500000,16.500000,0.500000
2,31.500000,16.500000,0.500000
3,32.500000,16.500000,0.500000
4,33.500000,16.500000,0.500000
5,34.500000,16.500000,0.500000
6,35.500000,16.500000,0.500000
7,36.500000,16.500000,0.500000
8,37.500000,16.500000,0.500000
9,38.500000,16.500000,0.500000
10,39.500000,16.500000,0.500000
11,40.500000,16.500000,0.500000
12,41.500000,16.500000,0.500000
13,42.500000,16.500000,0.500000
14,43.500000,16.500000,0.500000
15,44.500000,16.500000,0.500000
16,45.500000,16.500000,0.500000
17,46.500000,16.500000,0.500000
18,22.500000,15.500000,0.500000
19,23.500000,15.500000,0.500000
20,24.500000,15.500000,0.500000
21,25.500000,15.500000,0.500000
22,26.500000,15.500000,0.500000
23,27.500000,15.500000,0.500000
24,28.500000,15.500000,0.500000
25,29.500000,15.500000,0.500000
26,30.500000,15.500000,0.500000
27,31.500000,15.500000,0.500000
28,32.500000,15.500000,0.500000
29,33.500000,15.500000,0.500000
30,34.500000,15.500000,0.500000
31,35.500000,15.500000,0.500000
32,36.500000,15.500000,0.500000
33,37.500000,15.500000,0.500000
34,38.500000,15.500000,0.500000
35,39.500000,15.500000,0.500000
36,40.500000,15.500000,0.500000
37,41.500000,15.500000,0.500000
38,42.500000,15.500000,0.500000
39,43.500000,15.500000,0.500000
40,44.500000,15.500000,0.500000
41,45.500000,15.500000,0.500000
42,46.500000,15.500000,0.500000
43,47.500000,15.500000,0.500000
44,48.500000,15.500000,0.500000
45,49.500000,15.500000,0.500000
46,50.500000,15.500000,0.500000
47,51.500000,15.500000,0.500000
48,52.500000,15.500000,0.500000
49,53.500000,15.500000,0.500000
50,54.500000,15.500000,0.500000
51,55.500000,15.500000,0.500000
52,56.500000,15.500000,0.500000
53,57.500000,15.500000,0.500000
54,16.500000,14.500000,0.500000
55,17.500000,14.500000,0.500000
56,18.500000,14.500000,0.500000
57,19.500000,14.500000,0.500000
58,20.500000,14.500000,0.500000
59,21.500000,14.500000,0.500000
60,22.500000,14.500000,0.500000
61,23.500000,14.500000,0.500000
62,24.500000,14.500000,0.500000
63,25.500000,14.500000,0.500000
64,26.500000,14.500000,0.500000
65,27.500000,14.500000,0.500000
66,28.500000,14.500000,0.500000
67,29.500000,14.500000,0.500000
68,30.500000,14.500000,0.500000
69,31.500000,14.500000,0.500000
70,32.500000,14.500000,0.500000
71,33.500000,14.500000,0.500000
72,34.500000,14.500000,0.500000
73,35.500000,14.500000,0.500000
74,36.500000,14.500000,0.500000
75,37.500000,14.500000,0.500000
76,38.500000,14.500000,0.500000
77,39.500000,14.500000,0.500000
78,40.500000,14.500000,0.500000
79,41.500000,14.500000,0.500000
80,42.500000,14.500000,0.500000
81,43.500000,14.500000,0.500000
82,44.500000,14.500000,0.500000
83,45.500000,14.500000,0.500000
84,46.500000,14.500000,0.500000
85,47.500000,14.500000,0.500000
86,48.500000,14.500000,0.500000
87,49.500000,14.500000,0.500000
88,50.500000,14.500000,0.500000
89,51.500000,14.500000,0.500000
90,52.500000,14.500000,0.500000
91,53.500000,14.500000,0.500000
92,54.500000,14.500000,0.500000
93,55.500000,14.500000,0.500000
94,56.500000,14.500000,0.500000
95,57.500000,14.500000,0.500000
96,58.500000,14.500000,0.500000
97,59.500000,14.500000,0.500000
98,60.500000,14.500000,0.500000
99,61.500000,14.500000,0.500000
100,62.500000,14.500000,0.500000
101,63.500000,14.500000,0.500000
102,64.500000,14.500000,0.500000
103,10.500000,13.500000,0.500000
104,11.500000,13.500000,0.500000
105,12.500000,13.500000,0.500000
106,13.500000,13.500000,0.500000
107,14.500000,13.500000,0.500000
108,15.500000,13.500000,0.500000
109,16.500000,13.500000,0.500000
110,17.500000,13.500000,0.500000
111,18.500000,13.500000,0.500000
112,19.500000,13.500000,0.500000
113,20.500000,13.500000,0.500000
114,21.500000,13.500000,0.500000
115,22.500000,13.500000,0.500000
116,23.500000,13.500000,0.500000
117,24.500000,13.500000,0.500000
118,25.500000,13.500000,0.500000
119,26.500000,13.500000,0.500000
120,27.500000,13.500000,0.500000
121,28.500000,13.500000,0.500000
122,29.500000,13.500000,0.500000
123,30.500000,13.500000,0.500000
124,31.500000,13.500000,0.500000
125,32.500000,13.500000,0.500000
126,33.500000,13.500000,0.500000
127,34.500000,13.500000,0.500000
128,35.500000,13.500000,0.500000
129,36.500000,13.500000,0.500000
130,37.500000,13.500000,0.500000
131,38.500000,13.500000,0.500000
132,39.500000,13.500000,0.500000
133,40.500000,13.500000,0.500000
134,41.500000,13.500000,0.500000
135,42.500000,13.500000,0.500000
136,43.500000,13.500000,0.500000
137,44.500000,13.500000,0.500000
138,45.500000,13.500000,0.500000
139,46.500000,13.500000,0.500000
140,47.500000,13.500000,0.500000
141,48.500000,13.500000,0.500000
142,49.500000,13.500000,0.500000
143,50.500000,13.500000,0.500000
144,51.500000,13.500000,0.500000
145,52.500000,13.500000,0.500000
146,53.500000,13.500000,0.500000
147,54.500000,13.500000,0.500000
148,55.500000,13.500000,0.500000
149,56.500000,13.500000,0.500000
150,57.500000,13.500000,0.500000
151,58.500000,13.500000,0.500000
152,59.500000,13.500000,0.500000
153,60.500000,13.500000,0.500000
154,61.500000,13.500000,0.500000
155,62.500000,13.500000,0.500000
156,63.500000,13.500000,0.500000
157,64.500000,13.500000,0.500000
158,65.500000,13.500000,0.500000
159,66.500000,13.500000,0.500000
160,67.500000,13.500000,0.500000
161,68.500000,13.500000,0.500000
162,7.500000,12.500000,0.500000
163,8.500000,12.500000,0.500000
164,9.500000,12.500000,0.500000
165,10.500000,12.500000,0.500000
166,11.500000,12.500000,0.500000
167,12.500000,12.500000,0.500000
168,13.500000,12.500000,0.500000
169,14.500000,12.500000,0.500000
170,15.500000,12.500000,0.500000
171,16.500000,12.500000,0.500000
172,17.500000,12.500000,0.500000
173,18.500000,12.500000,0.500000
174,19.500000,12.500000,0.500000
175,20.500000,12.500000,0.500000
176,21.500000,12.500000,0.500000
177,22.500000,12.500000,0.500000
178,23.500000,12.500000,0.500000
179,24.500000,12.500000,0.500000
180,25.500000,12.500000,0.500000
181,26.500000,12.500000,0.500000
182,27.500000,12.500000,0.500000
183,28.500000,12.500000,0.500000
184,29.500000,12.500000,0.500000
185,30.500000,12.500000,0.500000
186,31.500000,12.500000,0.500000
