Original Node Number,Reduced Set Node Number,x,y,layer
1,0,0.250000,16.750000,1
2,0,0.750000,16.750000,1
3,0,1.250000,16.750000,1
4,0,1.750000,16.750000,1
5,0,2.250000,16.750000,1
6,0,2.750000,16.750000,1
7,0,3.250000,16.750000,1
8,0,3.750000,16.750000,1
9,0,4.250000,16.750000,1
10,0,4.750000,16.750000,1
11,0,5.250000,16.750000,1
12,0,5.750000,16.750000,1
13,0,6.250000,16.750000,1
14,0,6.750000,16.750000,1
15,0,7.250000,16.750000,1
16,0,7.750000,16.750000,1
17,0,8.250000,16.750000,1
18,0,8.750000,16.750000,1
19,0,9.250000,16.750000,1
20,0,9.750000,16.750000,1
21,0,10.250000,16.750000,1
22,0,10.750000,16.750000,1
23,0,11.250000,16.750000,1
24,0,11.750000,16.750000,1
25,0,12.250000,16.750000,1
26,0,12.750000,16.750000,1
27,0,13.250000,16.750000,1
28,0,13.750000,16.750000,1
29,0,14.250000,16.750000,1
30,0,14.750000,16.750000,1
31,0,15.250000,16.750000,1
32,0,15.750000,16.750000,1
33,0,16.250000,16.750000,1
34,0,16.750000,16.750000,1
35,0,17.250000,16.750000,1
36,0,17.750000,16.750000,1
37,0,18.250000,16.750000,1
38,0,18.750000,16.750000,1
39,0,19.250000,16.750000,1
40,0,19.750000,16.750000,1
41,0,20.250000,16.750000,1
42,0,20.750000,16.750000,1
43,0,21.250000,16.750000,1
44,0,21.750000,16.750000,1
45,0,22.250000,16.750000,1
46,0,22.750000,16.750000,1
47,0,23.250000,16.750000,1
48,0,23.750000,16.750000,1
49,0,24.250000,16.750000,1
50,0,24.750000,16.750000,1
51,0,25.250000,16.750000,1
52,0,25.750000,16.750000,1
53,0,26.250000,16.750000,1
54,0,26.750000,16.750000,1
55,0,27.250000,16.750000,1
56,0,27.750000,16.750000,1
57,0,28.250000,16.750000,1
58,0,28.750000,16.750000,1
59,0,29.250000,16.750000,1
60,0,29.750000,16.750000,1
61,0,30.250000,16.750000,1
62,0,30.750000,16.750000,1
63,0,31.250000,16.750000,1
64,0,31.750000,16.750000,1
65,0,32.250000,16.750000,1
66,0,32.750000,16.750000,1
67,0,33.250000,16.750000,1
68,0,33.750000,16.750000,1
69,0,34.250000,16.750000,1
70,0,34.750000,16.750000,1
71,0,35.250000,16.750000,1
72,0,35.750000,16.750000,1
73,0,36.250000,16.750000,1
74,0,36.750000,16.750000,1
75,0,37.250000,16.750000,1
76,0,37.750000,16.750000,1
77,0,38.250000,16.750000,1
78,0,38.750000,16.750000,1
79,0,39.250000,16.750000,1
80,0,39.750000,16.750000,1
81,0,40.250000,16.750000,1
82,0,40.750000,16.750000,1
83,0,41.250000,16.750000,1
84,0,41.750000,16.750000,1
85,0,42.250000,16.750000,1
86,0,42.750000,16.750000,1
87,0,43.250000,16.750000,1
88,0,43.750000,16.750000,1
89,0,44.250000,16.750000,1
90,0,44.750000,16.750000,1
91,0,45.250000,16.750000,1
92,0,45.750000,16.750000,1
93,0,46.250000,16.750000,1
94,0,46.750000,16.750000,1
95,0,47.250000,16.750000,1
96,0,47.750000,16.750000,1
97,0,48.250000,16.750000,1
98,0,48.750000,16.750000,1
99,0,49.250000,16.750000,1
100,0,49.750000,16.750000,1
101,0,50.250000,16.750000,1
102,0,50.750000,16.750000,1
103,0,51.250000,16.750000,1
104,0,51.750000,16.750000,1
105,0,52.250000,16.750000,1
106,0,52.750000,16.750000,1
107,0,53.250000,16.750000,1
108,0,53.750000,16.750000,1
109,0,54.250000,16.750000,1
110,0,54.750000,16.750000,1
111,0,55.250000,16.750000,1
112,0,55.750000,16.750000,1
113,0,56.250000,16.750000,1
114,0,56.750000,16.750000,1
115,0,57.250000,16.750000,1
116,0,57.750000,16.750000,1
117,0,58.250000,16.750000,1
118,0,58.750000,16.750000,1
119,0,59.250000,16.750000,1
120,0,59.750000,16.750000,1
121,0,60.250000,16.750000,1
122,0,60.750000,16.750000,1
123,0,61.250000,16.750000,1
124,0,61.750000,16.750000,1
125,0,62.250000,16.750000,1
126,0,62.750000,16.750000,1
127,0,63.250000,16.750000,1
128,0,63.750000,16.750000,1
129,0,64.250000,16.750000,1
130,0,64.750000,16.750000,1
131,0,65.250000,16.750000,1
132,0,65.750000,16.750000,1
133,0,66.250000,16.750000,1
134,0,66.750000,16.750000,1
135,0,67.250000,16.750000,1
136,0,67.750000,16.750000,1
137,0,68.250000,16.750000,1
138,0,68.750000,16.750000,1
139,0,69.250000,16.750000,1
140,0,69.750000,16.750000,1
141,0,70.250000,16.750000,1
142,0,70.750000,16.750000,1
143,0,71.250000,16.750000,1
144,0,71.750000,16.750000,1
145,0,72.250000,16.750000,1
146,0,72.750000,16.750000,1
147,0,73.250000,16.750000,1
148,0,73.750000,16.750000,1
149,0,74.250000,16.750000,1
150,0,74.750000,16.750000,1
151,0,75.250000,16.750000,1
152,0,75.750000,16.750000,1
153,0,76.250000,16.750000,1
154,0,76.750000,16.750000,1
155,0,77.250000,16.750000,1
156,0,77.750000,16.750000,1
157,0,78.250000,16.750000,1
158,0,78.750000,16.750000,1
159,0,79.250000,16.750000,1
160,0,79.750000,16.750000,1
161,0,80.250000,16.750000,1
162,0,80.750000,16.750000,1
163,0,81.250000,16.750000,1
164,0,81.750000,16.750000,1
165,0,0.250000,16.250000,1
166,0,0.750000,16.250000,1
167,0,1.250000,16.250000,1
168,0,1.750000,16.250000,1
169,0,2.250000,16.250000,1
170,0,2.750000,16.250000,1
171,0,3.250000,16.250000,1
172,0,3.750000,16.250000,1
173,0,4.250000,16.250000,1
174,0,4.750000,16.250000,1
175,0,5.250000,16.250000,1
176,0,5.750000,16.250000,1
177,0,6.250000,16.250000,1
178,0,6.750000,16.250000,1
179,0,7.250000,16.250000,1
180,0,7.750000,16.250000,1
181,0,8.250000,16.250000,1
182,0,8.750000,16.250000,1
183,0,9.250000,16.250000,1
184,0,9.750000,16.250000,1
185,0,10.250000,16.250000,1
186,0,10.750000,16.250000,1
187,0,11.250000,16.250000,1
188,0,11.750000,16.250000,1
189,0,12.250000,16.250000,1
190,0,12.750000,16.250000,1
191,0,13.250000,16.250000,1
192,0,13.750000,16.250000,1
193,0,14.250000,16.250000,1
194,0,14.750000,16.250000,1
195,0,15.250000,16.250000,1
196,0,15.750000,16.250000,1
197,0,16.250000,16.250000,1
198,0,16.750000,16.250000,1
199,0,17.250000,16.250000,1
200,0,17.750000,16.250000,1
201,0,18.250000,16.250000,1
202,0,18.750000,16.250000,1
203,0,19.250000,16.250000,1
204,0,19.750000,16.250000,1
205,0,20.250000,16.250000,1
206,0,20.750000,16.250000,1
207,0,21.250000,16.250000,1
208,0,21.750000,16.250000,1
209,0,22.250000,16.250000,1
210,0,22.750000,16.250000,1
211,0,23.250000,16.250000,1
212,0,23.750000,16.250000,1
213,0,24.250000,16.250000,1
214,0,24.750000,16.250000,1
215,0,25.250000,16.250000,1
216,0,25.750000,16.250000,1
217,0,26.250000,16.250000,1
218,0,26.750000,16.250000,1
219,0,27.250000,16.250000,1
220,0,27.750000,16.250000,1
221,0,28.250000,16.250000,1
222,0,28.750000,16.250000,1
223,0,29.250000,16.250000,1
224,0,29.750000,16.250000,1
225,0,30.250000,16.250000,1
226,0,30.750000,16.250000,1
227,0,31.250000,16.250000,1
228,0,31.750000,16.250000,1
