Node,X,Y,Z
1,32.750000,16.250000,1.858078
2,33.250000,16.250000,1.858078
3,33.750000,16.250000,1.858078
4,34.250000,16.250000,1.858747
5,34.750000,16.250000,1.858747
6,35.250000,16.250000,1.858747
7,35.750000,16.250000,1.858747
8,36.250000,16.250000,1.843585
9,36.750000,16.250000,1.843585
10,37.250000,16.250000,1.843585
11,37.750000,16.250000,1.843585
12,38.250000,16.250000,1.838448
13,38.750000,16.250000,1.838448
14,39.250000,16.250000,1.838448
15,39.750000,16.250000,1.838448
16,40.250000,16.250000,1.844426
17,40.750000,16.250000,1.844426
18,41.250000,16.250000,1.844426
19,41.750000,16.250000,1.844426
20,42.250000,16.250000,1.867138
21,42.750000,16.250000,1.867138
22,43.250000,16.250000,1.867138
23,43.750000,16.250000,1.871189
24,44.250000,16.250000,1.858426
25,44.750000,16.250000,1.858426
26,45.250000,16.250000,1.858426
27,45.750000,16.250000,1.858426
28,46.250000,16.250000,1.838400
29,46.750000,16.250000,1.838400
30,47.250000,16.250000,1.838400
31,47.750000,16.250000,1.838400
32,48.250000,16.250000,1.829057
33,48.750000,16.250000,1.829057
34,24.750000,15.750000,1.920249
35,25.250000,15.750000,1.920249
36,25.750000,15.750000,1.920249
37,26.250000,15.750000,1.873080
38,26.750000,15.750000,1.873080
39,27.250000,15.750000,1.873080
40,27.750000,15.750000,1.873080
41,28.250000,15.750000,1.834157
42,28.750000,15.750000,1.834157
43,29.250000,15.750000,1.834157
44,29.750000,15.750000,1.855417
45,30.250000,15.750000,1.855417
46,30.750000,15.750000,1.841707
47,31.250000,15.750000,1.841707
48,31.750000,15.750000,1.866041
49,32.250000,15.750000,1.866041
50,32.750000,15.750000,1.858078
51,33.250000,15.750000,1.874273
52,33.750000,15.750000,1.874273
53,34.250000,15.750000,1.858747
54,34.750000,15.750000,1.873878
55,35.250000,15.750000,1.873878
56,35.750000,15.750000,1.864761
57,36.250000,15.750000,1.864761
58,36.750000,15.750000,1.843585
59,37.250000,15.750000,1.857759
60,37.750000,15.750000,1.857759
61,38.250000,15.750000,1.857759
62,38.750000,15.750000,1.838448
63,39.250000,15.750000,1.857707
64,39.750000,15.750000,1.857707
65,40.250000,15.750000,1.863052
66,40.750000,15.750000,1.863052
67,41.250000,15.750000,1.863052
68,41.750000,15.750000,1.866916
69,42.250000,15.750000,1.866916
70,42.750000,15.750000,1.866916
71,43.250000,15.750000,1.871189
72,43.750000,15.750000,1.871189
73,44.250000,15.750000,1.871189
74,44.750000,15.750000,1.868022
75,45.250000,15.750000,1.868022
76,45.750000,15.750000,1.868022
77,46.250000,15.750000,1.838400
78,46.750000,15.750000,1.856206
79,47.250000,15.750000,1.856206
80,47.750000,15.750000,1.842405
81,48.250000,15.750000,1.829057
82,48.750000,15.750000,1.829057
83,49.250000,15.750000,1.829057
84,49.750000,15.750000,1.847640
85,50.250000,15.750000,1.837520
86,50.750000,15.750000,1.837520
87,51.250000,15.750000,1.837520
88,51.750000,15.750000,1.837520
89,52.250000,15.750000,1.861842
90,52.750000,15.750000,1.861842
91,53.250000,15.750000,1.861842
92,53.750000,15.750000,1.878561
93,54.250000,15.750000,1.854491
94,54.750000,15.750000,1.854491
95,21.750000,15.250000,1.871057
96,22.250000,15.250000,1.890826
97,22.750000,15.250000,1.890826
98,23.250000,15.250000,1.890826
99,23.750000,15.250000,1.890826
100,24.250000,15.250000,1.920249
101,24.750000,15.250000,1.920249
102,25.250000,15.250000,1.920249
103,25.750000,15.250000,1.915799
104,26.250000,15.250000,1.915799
105,26.750000,15.250000,1.873080
106,27.250000,15.250000,1.873080
107,27.750000,15.250000,1.871517
108,28.250000,15.250000,1.871517
109,28.750000,15.250000,1.834157
110,29.250000,15.250000,1.855417
111,29.750000,15.250000,1.855417
112,30.250000,15.250000,1.867420
113,30.750000,15.250000,1.867420
114,31.250000,15.250000,1.866041
115,31.750000,15.250000,1.866041
116,32.250000,15.250000,1.866041
117,32.750000,15.250000,1.874273
118,33.250000,15.250000,1.874273
119,33.750000,15.250000,1.874273
120,34.250000,15.250000,1.873878
121,34.750000,15.250000,1.873878
122,35.250000,15.250000,1.873878
123,35.750000,15.250000,1.864761
124,36.250000,15.250000,1.864761
125,36.750000,15.250000,1.864761
126,37.250000,15.250000,1.857759
127,37.750000,15.250000,1.857759
128,38.250000,15.250000,1.857759
129,38.750000,15.250000,1.857707
130,39.250000,15.250000,1.857707
131,39.750000,15.250000,1.857707
132,40.250000,15.250000,1.863052
133,40.750000,15.250000,1.863052
134,41.250000,15.250000,1.863052
135,41.750000,15.250000,1.866916
136,42.250000,15.250000,1.866916
137,42.750000,15.250000,1.866916
138,43.250000,15.250000,1.871189
139,43.750000,15.250000,1.871189
140,44.250000,15.250000,1.871189
141,44.750000,15.250000,1.868022
142,45.250000,15.250000,1.868022
143,45.750000,15.250000,1.868022
144,46.250000,15.250000,1.856206
145,46.750000,15.250000,1.856206
146,47.250000,15.250000,1.856206
147,47.750000,15.250000,1.842405
148,48.250000,15.250000,1.842405
149,48.750000,15.250000,1.842405
150,49.250000,15.250000,1.847640
151,49.750000,15.250000,1.847640
152,50.250000,15.250000,1.847640
153,50.750000,15.250000,1.865080
154,51.250000,15.250000,1.865080
155,51.750000,15.250000,1.865080
156,52.250000,15.250000,1.861842
157,52.750000,15.250000,1.861842
158,53.250000,15.250000,1.878561
159,53.750000,15.250000,1.878561
160,54.250000,15.250000,1.854491
161,54.750000,15.250000,1.854491
162,55.250000,15.250000,1.863234
163,55.750000,15.250000,1.863234
164,56.250000,15.250000,1.834736
165,56.750000,15.250000,1.834736
166,57.250000,15.250000,1.834736
167,57.750000,15.250000,1.838817
168,58.250000,15.250000,1.838817
169,58.750000,15.250000,1.838817
170,18.750000,14.750000,1.884869
171,19.250000,14.750000,1.884869
172,19.750000,14.750000,1.884869
173,20.250000,14.750000,1.871057
174,20.750000,14.750000,1.871057
175,21.250000,14.750000,1.871057
176,21.750000,14.750000,1.891017
177,22.250000,14.750000,1.891017
178,22.750000,14.750000,1.890826
179,23.250000,14.750000,1.915706
180,23.750000,14.750000,1.915706
181,24.250000,14.750000,1.919211
182,24.750000,14.750000,1.919211
183,25.250000,14.750000,1.915799
184,25.750000,14.750000,1.915799
185,26.250000,14.750000,1.895926
186,26.750000,14.750000,1.895926
187,27.250000,14.750000,1.895926
188,27.750000,14.750000,1.871517
189,28.250000,14.750000,1.871517
190,28.750000,14.750000,1.863894
191,29.250000,14.750000,1.863894
192,29.750000,14.750000,1.855417
193,30.250000,14.750000,1.867420
194,30.750000,14.750000,1.867420
195,31.250000,14.750000,1.866041
196,31.750000,14.750000,1.866041
197,32.250000,14.750000,1.866041
198,32.750000,14.750000,1.874273
199,33.250000,14.750000,1.874273
200,33.750000,14.750000,1.874273
201,34.250000,14.750000,1.873878
202,34.750000,14.750000,1.873878
203,35.250000,14.750000,1.873878
204,35.750000,14.750000,1.864761
205,36.250000,14.750000,1.864761
206,36.750000,14.750000,1.864761
207,37.250000,14.750000,1.857759
208,37.750000,14.750000,1.857759
209,38.250000,14.750000,1.847010
210,38.750000,14.750000,1.847010
211,39.250000,14.750000,1.847664
212,39.750000,14.750000,1.847664
213,40.250000,14.750000,1.847664
214,40.750000,14.750000,1.848004
215,41.250000,14.750000,1.848004
216,41.750000,14.750000,1.866916
217,42.250000,14.750000,1.866916
218,42.750000,14.750000,1.843823
219,43.250000,14.750000,1.871189
220,43.750000,14.750000,1.837019
221,44.250000,14.750000,1.837019
222,44.750000,14.750000,1.868022
223,45.250000,14.750000,1.868022
224,45.750000,14.750000,1.849769
225,46.250000,14.750000,1.856206
226,46.750000,14.750000,1.856206
227,47.250000,14.750000,1.856206
228,47.750000,14.750000,1.842405
229,48.250000,14.750000,1.842405
230,48.750000,14.750000,1.842405
231,49.250000,14.750000,1.847640
232,49.750000,14.750000,1.847640
233,50.250000,14.750000,1.847640
234,50.750000,14.750000,1.865080
235,51.250000,14.750000,1.865080
236,51.750000,14.750000,1.865080
237,52.250000,14.750000,1.873757
238,52.750000,14.750000,1.873757
239,53.250000,14.750000,1.878561
240,53.750000,14.750000,1.878561
241,54.250000,14.750000,1.875365
242,54.750000,14.750000,1.863234
243,55.250000,14.750000,1.863234
244,55.750000,14.750000,1.863234
245,56.250000,14.750000,1.834736
246,56.750000,14.750000,1.834736
247,57.250000,14.750000,1.855123
248,57.750000,14.750000,1.855123
249,58.250000,14.750000,1.838817
250,58.750000,14.750000,1.838817
251,59.250000,14.750000,1.838817
252,59.750000,14.750000,1.864503
253,60.250000,14.750000,1.869981
254,60.750000,14.750000,1.869981
255,61.250000,14.750000,1.869981
256,61.750000,14.750000,1.926463
257,62.250000,14.750000,1.926463
258,62.750000,14.750000,1.926463
259,16.250000,14.250000,1.922306
260,16.750000,14.250000,1.922306
261,17.250000,14.250000,1.922306
262,17.750000,14.250000,1.922435
263,18.250000,14.250000,1.922435
264,18.750000,14.250000,1.884869
265,19.250000,14.250000,1.884869
266,19.750000,14.250000,1.890893
267,20.250000,14.250000,1.890893
268,20.750000,14.250000,1.871057
269,21.250000,14.250000,1.891017
270,21.750000,14.250000,1.891017
271,22.250000,14.250000,1.891017
272,22.750000,14.250000,1.915706
273,23.250000,14.250000,1.915706
274,23.750000,14.250000,1.915706
275,24.250000,14.250000,1.919211
276,24.750000,14.250000,1.919211
277,25.250000,14.250000,1.915799
278,25.750000,14.250000,1.897931
279,26.250000,14.250000,1.895926
280,26.750000,14.250000,1.895926
281,27.250000,14.250000,1.878139
282,27.750000,14.250000,1.871517
283,28.250000,14.250000,1.863894
284,28.750000,14.250000,1.863894
285,29.250000,14.250000,1.863894
286,29.750000,14.250000,1.863894
287,30.250000,14.250000,1.862089
288,30.750000,14.250000,1.862089
289,31.250000,14.250000,1.862089
290,31.750000,14.250000,1.865297
291,32.250000,14.250000,1.865297
292,32.750000,14.250000,1.865297
293,33.250000,14.250000,1.846488
